group	taxa	abund	relative_abund
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;;;;0.65	19	6.232900529468497e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;;;;0.71	36	1.1809706266361364e-4
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;;;;0.82	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia;;mobilis;0.79	3358	0.01101583156734485
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea;;;0.66	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Camelimonas;;;0.52	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;;;0.55	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;;;0.89	1620	0.005314367819862614
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;;;1	5	1.6402369814390784e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;aquaticum;;0.99	96	3.1492550043630304e-4
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;brachiatum;;0.69	2492	0.008174941115492365
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;extorquens;;0.99	27	8.857279699771022e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Pleomorphomonadaceae;;;;0.51	292	9.578983971604217e-4
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;daejeonense;;0.55	0	0
